seed,model,val_f1_macro,val_accuracy,test_f1_macro,test_accuracy
13,complement_nb,0.8152934961345863,0.8462643678160919,0.8237095859330685,0.8238095238095238
21,complement_nb,0.8207448361120173,0.8491379310344828,0.8473975837950767,0.8476190476190476
42,complement_nb,0.8382547560978593,0.8635057471264368,0.8425679820077694,0.8428571428571429
77,complement_nb,0.8113056433700538,0.8433908045977011,0.8332387975042541,0.8333333333333334
99,complement_nb,0.793552673730171,0.8204022988505747,0.8285092096905906,0.8285714285714286
13,linear_svm,0.8192602877087432,0.8548850574712644,0.80401083517334,0.8047619047619048
21,linear_svm,0.8047059766705416,0.8390804597701149,0.8278061224489797,0.8285714285714286
42,linear_svm,0.8351209677419356,0.8649425287356322,0.8130606468695076,0.8142857142857143
77,linear_svm,0.8194561712257001,0.853448275862069,0.8273026315789473,0.8285714285714286
99,linear_svm,0.8266379722620756,0.8563218390804598,0.8182397959183674,0.819047619047619
13,logreg,0.8210887096774193,0.853448275862069,0.8133333333333334,0.8142857142857143
21,logreg,0.8358861499464547,0.8620689655172413,0.8422526234322005,0.8428571428571429
42,logreg,0.842013494805373,0.8692528735632183,0.8170396184886279,0.819047619047619
77,logreg,0.8360925161342045,0.8649425287356322,0.8229059829059829,0.8238095238095238
99,logreg,0.8288194444444444,0.853448275862069,0.8233247686395779,0.8238095238095238
13,passive_aggressive,0.7872232764073371,0.8333333333333334,0.8084116412736064,0.8095238095238095
21,passive_aggressive,0.8058902275769746,0.8419540229885057,0.7973531844499586,0.8
42,passive_aggressive,0.8290900345556498,0.860632183908046,0.7793311403508771,0.780952380952381
77,passive_aggressive,0.8203944393202705,0.8548850574712644,0.8124098124098125,0.8142857142857143
99,passive_aggressive,0.8186555497655028,0.8505747126436781,0.7935480920917259,0.7952380952380952
13,sgd_log,0.7965798642948836,0.853448275862069,0.7591912194893637,0.7666666666666667
21,sgd_log,0.797682820480877,0.8491379310344828,0.7743201569946734,0.780952380952381
42,sgd_log,0.8156114718614719,0.8649425287356322,0.7879236243218488,0.7952380952380952
77,sgd_log,0.8030742337526998,0.8548850574712644,0.7727058823529411,0.780952380952381
99,sgd_log,0.8052670895187907,0.8520114942528736,0.7591912194893637,0.7666666666666667
