Threshold,Macro-F1,Accuracy
0.1,0.8364429011908209,0.8942307692307693
0.15000000000000002,0.8364429011908209,0.8942307692307693
0.20000000000000004,0.8364429011908209,0.8942307692307693
0.25000000000000006,0.8364429011908209,0.8942307692307693
0.30000000000000004,0.8364429011908209,0.8942307692307693
0.3500000000000001,0.7220357509923508,0.8942307692307693
0.40000000000000013,0.7218479151906344,0.8910256410256411
0.45000000000000007,0.7398028407085754,0.8814102564102564
0.5000000000000001,0.7397097727980081,0.8782051282051282
0.5500000000000002,0.6756976139201667,0.8525641025641025
0.6000000000000002,0.6758477685007009,0.842948717948718
0.6500000000000001,0.6688604833886215,0.8205128205128205
0.7000000000000002,0.65371860794396,0.7916666666666666
0.7500000000000002,0.6291125023549701,0.7403846153846154
0.8000000000000002,0.5986195116194168,0.6826923076923077
0.8500000000000002,0.4672649945759189,0.6025641025641025
0.9000000000000002,0.40455276705276705,0.46794871794871795
0.9500000000000003,0.29414247711967345,0.32051282051282054
